Activation,WeightInit,F1,precision,recall
RATIONALTANH,RELU_UNIFORM,0.6928555822591217,0.6434351355732455,0.634963166942176,
ELU,RELU_UNIFORM,0.6908133623819899,0.6525650863770067,0.649109988004007,
HARDSIGMOID,XAVIER_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
TANH,DISTRIBUTION,0.6756504204986967,0.6654840052153915,0.6663083671021226,
SELU,RELU,0.6852043805489205,0.6437753167196598,0.6397182796674101,
IDENTITY,XAVIER,0.6491458607095927,0.6182695372114939,0.6178482651155697,
IDENTITY,XAVIER_FAN_IN,0.65440834186761,0.6207375296811757,0.6198733618873695,
RRELU,XAVIER_FAN_IN,0.6973684210526315,0.5353535353535354,0.5,
SOFTMAX,RELU,0.6973684210526315,0.5353535353535354,0.5,
SOFTMAX,SIGMOID_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
IDENTITY,UNIFORM,0.5783703428412152,0.535731490392563,0.5354397087982983,
TANH,ZERO,0.6973684210526315,0.5353535353535354,0.5,
SELU,XAVIER_LEGACY,0.6871109061563293,0.6536044980652835,0.6517390067647507,
SOFTSIGN,SIGMOID_UNIFORM,0.6932566552267878,0.6623707869525459,0.6609060478767916,
SOFTSIGN,ZERO,0.6973684210526315,0.5353535353535354,0.5,
HARDSIGMOID,ZERO,0.6973684210526315,0.5353535353535354,0.5,
SOFTMAX,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
RELU,DISTRIBUTION,0.6404376784015223,0.6145881098426731,0.6147039545553856,
RECTIFIEDTANH,XAVIER,0.6204254064940806,0.6079335861811173,0.6084740767001537,
RECTIFIEDTANH,RELU,0.6387646923254207,0.5992684976862436,0.5980363260106933,
RELU,XAVIER_LEGACY,0.679373660173362,0.6486964809599731,0.6477114860603262,
HARDSIGMOID,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
SIGMOID,XAVIER_FAN_IN,0.6973684210526315,0.5353535353535354,0.5,
HARDTANH,XAVIER,0.7009026310735549,0.625668588028397,0.5849324555509294,
HARDTANH,RELU_UNIFORM,0.611722179189259,0.6234057084667665,0.6226631516895388,
SIGMOID,ZERO,0.6973684210526315,0.5353535353535354,0.5,
SOFTMAX,UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
TANH,XAVIER,0.6605994658225344,0.6523876359753332,0.6531024688660695,
RELU,RELU,0.695145091868376,0.6637797786029136,0.6621211059398717,
RECTIFIEDTANH,UNIFORM,0.5667043679646686,0.6017276441205863,0.5987082665171634,
RATIONALTANH,XAVIER_UNIFORM,0.6894548095692041,0.6510467915215676,0.6476414063756024,
ELU,XAVIER_UNIFORM,0.6846393262541194,0.6482808727419824,0.6457946005664088,
SOFTPLUS,ZERO,0.6973684210526315,0.5353535353535354,0.5,
RECTIFIEDTANH,RELU_UNIFORM,0.6119236238066219,0.6152239994314992,0.615208940518837,
ELU,UNIFORM,0.6803467674997695,0.6460135550308319,0.6442363581649017,
IDENTITY,ZERO,0.6973684210526315,0.5353535353535354,0.5,
