Activation,WeightInit,F1,precision,recall
RATIONALTANH,RELU_UNIFORM,0.6209922712540513,0.615550950995802,0.6159911534703872,
ELU,RELU_UNIFORM,0.656386159760786,0.5892293244370665,0.5812903731124861,
IDENTITY,DISTRIBUTION,0.6871437359032191,0.6177435926359887,0.5989442701613069,
HARDSIGMOID,XAVIER_UNIFORM,0.6738189165784663,0.6547013380832225,0.6552368074993508,
TANH,DISTRIBUTION,0.6944218153753805,0.6400992497213864,0.6283839212469238,
SELU,SIGMOID_UNIFORM,0.6042404640895322,0.6129788592232677,0.6125593100861155,
SELU,RELU,0.6991990808015951,0.6178787839552529,0.5152763406862038,
IDENTITY,XAVIER,0.6099334995843723,0.6247266406160211,0.6236463284428706,
IDENTITY,XAVIER_FAN_IN,0.5586986490212296,0.6075720217817102,0.6024090922207428,
SOFTMAX,RELU,0.6973684210526315,0.5353535353535354,0.5,
IDENTITY,SIGMOID_UNIFORM,0.6147406189265959,0.6088921198574706,0.6093160635004391,
SOFTMAX,SIGMOID_UNIFORM,0.7020890522495696,0.6732015575553235,0.6719188642144274,
IDENTITY,UNIFORM,0.6992017783166616,0.6211929843251675,0.5133852197822583,
TANH,ZERO,0.6973684210526315,0.5353535353535354,0.5,
SELU,XAVIER_LEGACY,0.6972883597883598,0.5176839486111817,0.5000288563407687,
SOFTSIGN,SIGMOID_UNIFORM,0.6953719702984168,0.6670305843338686,0.6660857610447644,
SOFTSIGN,ZERO,0.6973684210526315,0.5353535353535354,0.5,
HARDSIGMOID,ZERO,0.7078994812171161,0.6381751462396623,0.5730518878230364,
SOFTMAX,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
RELU,DISTRIBUTION,0.6973684210526315,0.5353535353535354,0.5,
RECTIFIEDTANH,XAVIER,0.6973684210526315,0.5353535353535354,0.5,
RECTIFIEDTANH,RELU,0.6891385767790262,0.6856285462999752,0.6862944748352097,
RELU,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
HARDSIGMOID,XAVIER_LEGACY,0.687325174825175,0.6366399065455859,0.6286044661370842,
SIGMOID,XAVIER_FAN_IN,0.6873149181999126,0.6724112395623595,0.6732050325458301,
HARDTANH,XAVIER,0.6757904245709123,0.6335790791365645,0.6300493443427144,
HARDTANH,RELU_UNIFORM,0.6231519345706197,0.6424673337300699,0.6405983980608538,
SIGMOID,ZERO,0.535762649267512,0.6606029747987522,0.6327401981193911,
SOFTMAX,UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
TANH,XAVIER,0.6540874289948135,0.6451179154399689,0.6458121204875897,
RELU,RELU,0.6953842075615494,0.3759379097126253,0.49825934430149105,
RRELU,SIGMOID_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
RECTIFIEDTANH,UNIFORM,0.6840440910733647,0.6432140047106494,0.6394503279317012,
RATIONALTANH,XAVIER_UNIFORM,0.7010641949879848,0.6244720177722209,0.526784867734901,
ELU,XAVIER_UNIFORM,0.6972124743428457,0.5654353149775093,0.500559606894192,
RECTIFIEDTANH,RELU_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
ELU,UNIFORM,0.6576636288318145,0.578416159392106,0.5674341766255395,
IDENTITY,ZERO,0.6973684210526315,0.5353535353535354,0.5,
LEAKYRELU,RELU,0.523275027063985,0.5933084648756837,0.5859465498122276,
ELU,RELU,0.6955052830313669,0.3461790931207065,0.4982160597903381,
SIGMOID,RELU,0.662033984275932,0.6650355738111535,0.6650685750326695,
RATIONALTANH,RELU,0.6937640672580432,0.6474390513071394,0.6403696085019024,
SOFTMAX,DISTRIBUTION,0.6864770070148091,0.672878051631433,0.6737162020108747,
RATIONALTANH,XAVIER,0.6416538335899948,0.6077017541552602,0.6070559936680944,
RELU,RELU_UNIFORM,0.697311419028407,0.5454753199268738,0.5000834772715094,
HARDTANH,UNIFORM,0.6374622356495468,0.5819972565877862,0.5786263145093804,
TANH,UNIFORM,0.642365887207703,0.6010901268823237,0.5995090299734933,
SOFTMAX,RELU_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
SIGMOID,UNIFORM,0.6926988739556847,0.6548484223140919,0.651383455423137,
SIGMOID,DISTRIBUTION,0.6790441004536314,0.6496024719256923,0.6488492503534902,
SOFTMAX,ZERO,0.6973684210526315,0.5353535353535354,0.5,
RECTIFIEDTANH,ZERO,0.6973684210526315,0.5353535353535354,0.5,
ELU,DISTRIBUTION,0.6523135978637293,0.5739223288554344,0.5645382367126857,
RECTIFIEDTANH,SIGMOID_UNIFORM,0.7031765318521089,0.6544604075327884,0.6440312720287245,
LEAKYRELU,XAVIER_LEGACY,0.6973684210526315,0.5353535353535354,0.5,
HARDTANH,XAVIER_LEGACY,0.6870317516946128,0.6425337598937163,0.6371871663485599,
RECTIFIEDTANH,XAVIER_FAN_IN,0.7050387153373766,0.6330241996575043,0.5870307237582498,
HARDSIGMOID,SIGMOID_UNIFORM,0.6751561040365799,0.6648520841124823,0.6656745581888112,
SIGMOID,XAVIER_UNIFORM,0.6990641930717452,0.6355844178495766,0.6141711428347645,
ELU,XAVIER,0.6860909505276814,0.5512676130206476,0.5164831540804927,
RELU,XAVIER_FAN_IN,0.6971530602122806,0.26761779041429734,0.49976296577225754,
HARDTANH,RELU,0.5633498321670365,0.6313145192262032,0.6211543773007779,
RATIONALTANH,XAVIER_FAN_IN,0.6638270877701754,0.620902316950542,0.6180110973241928,
TANH,RELU_UNIFORM,0.688709798900354,0.5957224943783901,0.5586247480223101,
RELU,ZERO,0.6973684210526315,0.5353535353535354,0.5,
RELU,SIGMOID_UNIFORM,0.6973684210526315,0.5353535353535354,0.5,
HARDSIGMOID,RELU,0.6361648802858209,0.6641495253210686,0.6603763279069672,
